iter	Passed	Remaining
0	46	4618
1	47	2342
2	48	1573
3	49	1187
4	49	948
5	50	787
6	51	686
7	52	605
8	53	542
9	54	490
10	55	447
11	56	412
12	57	384
13	58	357
14	59	334
15	59	314
16	60	296
17	61	280
18	61	264
19	63	252
20	63	240
21	64	229
22	65	220
23	66	211
24	67	202
25	68	195
26	69	186
27	69	178
28	70	171
29	70	164
30	70	157
31	71	150
32	71	144
33	71	139
34	72	133
35	72	128
36	72	123
37	73	119
38	73	114
39	73	110
40	73	106
41	74	102
42	74	98
43	74	95
44	75	91
45	75	88
46	75	85
47	75	82
48	76	79
49	76	76
50	76	73
51	77	71
52	77	68
53	77	66
54	78	63
55	78	61
56	78	59
57	79	57
58	79	55
59	79	53
60	80	51
61	80	49
62	80	47
63	80	45
64	81	43
65	81	41
66	81	40
67	82	38
68	82	36
69	82	35
70	82	33
71	83	32
72	83	30
73	83	29
74	84	28
75	84	26
76	84	25
77	84	23
78	85	22
79	85	21
80	85	20
81	86	18
82	86	17
83	86	16
84	87	15
85	87	14
86	87	13
87	87	11
88	88	10
89	88	9
90	88	8
91	89	7
92	89	6
93	89	5
94	89	4
95	90	3
96	90	2
97	90	1
98	91	0
99	91	0
